Interaction:  A_\rho_102(X)  A_\sigma_316(X)  to  e_alpha_139(X)  AntiPart e_beta_43(X)^(*) : Vertex V_0:A(X_2), e(X_3), AntiPart  OffShell e(V_0), Vertex V_1:A(X_1), AntiPart e(X_4),  OffShell e(V_1), : -1/2*i*e^2*(p_2_%\mu_87*gamma_{+%\mu_87,%gam_187,%gam_188}*gamma_{%\sigma_175,%gam_150,%gam_187}*gamma_{%\sigma_177,%gam_188,%del_144}*A_{l_5,+%\sigma_175}(p_2)*A_{k_5,+%\sigma_177}(p_1)*e_{j_7,%del_144}(p_4)_v*e_{i_7,%gam_150}(p_3)_u^(*) + (-2)*p_3_%\sigma_175*gamma_{%\sigma_177,%gam_158,%del_149}*A_{l_5,+%\sigma_175}(p_2)*A_{k_5,+%\sigma_177}(p_1)*e_{j_7,%del_149}(p_4)_v*e_{i_7,%gam_158}(p_3)_u^(*))/(s_23 + -1/2*reg_prop) : 2*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -1/4*i*e^2*(i*e^2*m_e^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_e^2*(m_e^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  A_\lambda_6553(X)  AntiPart A_\lambda_6703(X)  to  d_beta_2695(X)  AntiPart d_gam_11989(X)^(*) : Vertex V_0:A(X_2), d(X_3), AntiPart  OffShell d(V_0), Vertex V_1:A(X_1), AntiPart d(X_4),  OffShell d(V_1), : -1/18*i*e^2*(p_2_%\rho_6428*gamma_{%\nu_6843,%gam_11873,%gam_11827}*gamma_{+%\rho_6428,%gam_11872,%gam_11873}*gamma_{%\sigma_8595,%gam_11826,%gam_11872}*A_{l_2057,+%\sigma_8595}(p_2)*A_{k_2057,+%\nu_6843}(p_1)*d_{j_2059,%gam_11827}(p_4)_v*d_{i_2059,%gam_11826}(p_3)_u^(*) + (-2)*p_3_%\sigma_8595*gamma_{%\nu_6843,%gam_11835,%gam_11836}*A_{l_2057,+%\sigma_8595}(p_2)*A_{k_2057,+%\nu_6843}(p_1)*d_{j_2059,%gam_11836}(p_4)_v*d_{i_2059,%gam_11835}(p_3)_u^(*))/(s_23 + -1/2*reg_prop) : 2/81*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -1/324*i*e^2*(i*e^2*m_d^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_d^2*(m_d^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  A_\lambda_6553(X)  AntiPart A_\lambda_6703(X)  to  d_beta_2695(X)  AntiPart d_gam_11989(X)^(*) : Vertex V_1:A(X_2), AntiPart d(X_4),  OffShell d(V_1), Vertex V_0:A(X_1), d(X_3), AntiPart  OffShell d(V_0), : 1/18*i*e^2*(p_2_%\nu_6871*gamma_{%\nu_6869,%gam_11904,%gam_11950}*gamma_{+%\nu_6871,%gam_11950,%gam_11951}*gamma_{%\sigma_8614,%gam_11951,%gam_11905}*A_{l_2057,+%\sigma_8614}(p_2)*A_{k_2057,+%\nu_6869}(p_1)*d_{j_2059,%gam_11905}(p_4)_v*d_{i_2059,%gam_11904}(p_3)_u^(*) + (-2)*p_4_%\sigma_8614*gamma_{%\nu_6869,%gam_11913,%gam_11914}*A_{l_2057,+%\sigma_8614}(p_2)*A_{k_2057,+%\nu_6869}(p_1)*d_{j_2059,%gam_11914}(p_4)_v*d_{i_2059,%gam_11913}(p_3)_u^(*))/(s_13 + -1/2*reg_prop) : 2/81*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + -2/81*i*e^2*(i*e^2*m_d^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_d^2*(m_d^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  A_\lambda_6553(X)  AntiPart A_\lambda_6703(X)  to  AntiPart d_del_7109(X)^(*)  d_eps_3452(X) : Vertex V_1:A(X_2), AntiPart d(X_3),  OffShell d(V_1), Vertex V_0:A(X_1), d(X_4), AntiPart  OffShell d(V_0), : 1/18*i*e^2*(p_2_%\lambda_6749*gamma_{+%\lambda_6749,%gam_12527,%gam_12528}*gamma_{%\nu_7115,%gam_12498,%gam_12527}*gamma_{%\nu_7117,%gam_12528,%del_7013}*A_{k_2087,+%\nu_7115}(p_1)*A_{l_2087,+%\nu_7117}(p_2)*d_{i_2089,%del_7013}(p_3)_v*d_{j_2089,%gam_12498}(p_4)_u^(*) + (-2)*p_3_%\nu_7117*gamma_{%\nu_7115,%gam_12504,%del_7016}*A_{k_2087,+%\nu_7115}(p_1)*A_{l_2087,+%\nu_7117}(p_2)*d_{i_2089,%del_7016}(p_3)_v*d_{j_2089,%gam_12504}(p_4)_u^(*))/(s_23 + -1/2*reg_prop) : 2/81*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -1/324*i*e^2*(i*e^2*m_d^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_d^2*(m_d^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  A_\lambda_6553(X)  AntiPart A_\lambda_6703(X)  to  AntiPart d_del_7109(X)^(*)  d_eps_3452(X) : Vertex V_0:A(X_2), d(X_4), AntiPart  OffShell d(V_0), Vertex V_1:A(X_1), AntiPart d(X_3),  OffShell d(V_1), : -1/18*i*e^2*(p_2_%\sigma_8772*gamma_{%\nu_7158,%gam_12549,%gam_12584}*gamma_{%\nu_7160,%gam_12585,%del_7047}*gamma_{+%\sigma_8772,%gam_12584,%gam_12585}*A_{k_2087,+%\nu_7160}(p_1)*A_{l_2087,+%\nu_7158}(p_2)*d_{i_2089,%del_7047}(p_3)_v*d_{j_2089,%gam_12549}(p_4)_u^(*) + (-2)*p_4_%\nu_7158*gamma_{%\nu_7160,%gam_12557,%del_7050}*A_{k_2087,+%\nu_7160}(p_1)*A_{l_2087,+%\nu_7158}(p_2)*d_{i_2089,%del_7050}(p_3)_v*d_{j_2089,%gam_12557}(p_4)_u^(*))/(s_13 + -1/2*reg_prop) : 2/81*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + -2/81*i*e^2*(i*e^2*m_d^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_d^2*(m_d^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  AntiPart A_\sigma_8887(X)  A_\lambda_6924(X)  to  d_gam_13131(X)  AntiPart d_del_7441(X)^(*) : Vertex V_1:A(X_2), d(X_3), AntiPart  OffShell d(V_1), Vertex V_0:A(X_1), AntiPart d(X_4),  OffShell d(V_0), : -1/18*i*e^2*(p_2_%\nu_7456*gamma_{%\nu_7454,%gam_13039,%del_7348}*gamma_{+%\nu_7456,%gam_13038,%gam_13039}*gamma_{%\rho_6595,%gam_13011,%gam_13038}*A_{l_2121,+%\rho_6595}(p_2)*A_{k_2121,+%\nu_7454}(p_1)*d_{i_2123,%gam_13011}(p_3)_u^(*)*d_{j_2123,%del_7348}(p_4)_v + (-2)*p_3_%\rho_6595*gamma_{%\nu_7454,%gam_13017,%del_7351}*A_{l_2121,+%\rho_6595}(p_2)*A_{k_2121,+%\nu_7454}(p_1)*d_{i_2123,%gam_13017}(p_3)_u^(*)*d_{j_2123,%del_7351}(p_4)_v)/(s_23 + -1/2*reg_prop) : 2/81*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -1/324*i*e^2*(i*e^2*m_d^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_d^2*(m_d^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  AntiPart A_\sigma_8887(X)  A_\lambda_6924(X)  to  d_gam_13131(X)  AntiPart d_del_7441(X)^(*) : Vertex V_0:A(X_2), AntiPart d(X_4),  OffShell d(V_0), Vertex V_1:A(X_1), d(X_3), AntiPart  OffShell d(V_1), : 1/18*i*e^2*(p_2_%\mu_6445*gamma_{+%\mu_6445,%gam_13092,%gam_13093}*gamma_{%\nu_7498,%gam_13059,%gam_13092}*gamma_{%\rho_6614,%gam_13093,%del_7384}*A_{l_2121,+%\rho_6614}(p_2)*A_{k_2121,+%\nu_7498}(p_1)*d_{i_2123,%gam_13059}(p_3)_u^(*)*d_{j_2123,%del_7384}(p_4)_v + (-2)*p_4_%\rho_6614*gamma_{%\nu_7498,%gam_13065,%del_7387}*A_{l_2121,+%\rho_6614}(p_2)*A_{k_2121,+%\nu_7498}(p_1)*d_{i_2123,%gam_13065}(p_3)_u^(*)*d_{j_2123,%del_7387}(p_4)_v)/(s_13 + -1/2*reg_prop) : 2/81*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + -2/81*i*e^2*(i*e^2*m_d^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_d^2*(m_d^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  AntiPart A_\sigma_8887(X)  A_\lambda_6924(X)  to  AntiPart d_alpha_5021(X)^(*)  d_beta_2867(X) : Vertex V_1:A(X_2), d(X_4), AntiPart  OffShell d(V_1), Vertex V_0:A(X_1), AntiPart d(X_3),  OffShell d(V_0), : -1/18*i*e^2*(p_2_%\mu_6532*gamma_{+%\mu_6532,%gam_13563,%gam_13564}*gamma_{%\nu_7752,%gam_13526,%gam_13563}*gamma_{%\sigma_8932,%gam_13564,%del_7678}*A_{k_2151,+%\sigma_8932}(p_1)*A_{l_2151,+%\nu_7752}(p_2)*d_{j_2153,%gam_13526}(p_4)_u^(*)*d_{i_2153,%del_7678}(p_3)_v + (-2)*p_4_%\nu_7752*gamma_{%\sigma_8932,%gam_13534,%del_7683}*A_{k_2151,+%\sigma_8932}(p_1)*A_{l_2151,+%\nu_7752}(p_2)*d_{j_2153,%gam_13534}(p_4)_u^(*)*d_{i_2153,%del_7683}(p_3)_v)/(s_13 + -1/2*reg_prop) : 2/81*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + -2/81*i*e^2*(i*e^2*m_d^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_d^2*(m_d^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  AntiPart A_\sigma_8887(X)  A_\lambda_6924(X)  to  AntiPart d_alpha_5021(X)^(*)  d_beta_2867(X) : Vertex V_0:A(X_2), AntiPart d(X_3),  OffShell d(V_0), Vertex V_1:A(X_1), d(X_4), AntiPart  OffShell d(V_1), : 1/18*i*e^2*(p_2_%\tau_8568*gamma_{%\nu_7772,%gam_13615,%del_7715}*gamma_{%\sigma_8968,%gam_13585,%gam_13614}*gamma_{+%\tau_8568,%gam_13614,%gam_13615}*A_{k_2151,+%\sigma_8968}(p_1)*A_{l_2151,+%\nu_7772}(p_2)*d_{j_2153,%gam_13585}(p_4)_u^(*)*d_{i_2153,%del_7715}(p_3)_v + (-2)*p_3_%\nu_7772*gamma_{%\sigma_8968,%gam_13591,%del_7718}*A_{k_2151,+%\sigma_8968}(p_1)*A_{l_2151,+%\nu_7772}(p_2)*d_{j_2153,%gam_13591}(p_4)_u^(*)*d_{i_2153,%del_7718}(p_3)_v)/(s_23 + -1/2*reg_prop) : 2/81*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -1/324*i*e^2*(i*e^2*m_d^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_d^2*(m_d^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  AntiPart A_\sigma_8887(X)  AntiPart A_\sigma_9210(X)  to  d_eta_10248(X)  AntiPart d_alpha_5103(X)^(*) : Vertex V_1:A(X_2), AntiPart d(X_4),  OffShell d(V_1), Vertex V_0:A(X_1), d(X_3), AntiPart  OffShell d(V_0), : 1/18*i*e^2*(p_2_%\nu_7972*gamma_{+%\nu_7972,%gam_14055,%gam_14056}*gamma_{%\rho_6823,%gam_14056,%del_7997}*gamma_{%\sigma_9139,%gam_14024,%gam_14055}*A_{k_2185,+%\sigma_9139}(p_1)*A_{l_2185,+%\rho_6823}(p_2)*d_{j_2187,%del_7997}(p_4)_v*d_{i_2187,%gam_14024}(p_3)_u^(*) + (-2)*p_4_%\rho_6823*gamma_{%\sigma_9139,%gam_14032,%del_8000}*A_{k_2185,+%\sigma_9139}(p_1)*A_{l_2185,+%\rho_6823}(p_2)*d_{j_2187,%del_8000}(p_4)_v*d_{i_2187,%gam_14032}(p_3)_u^(*))/(s_13 + -1/2*reg_prop) : 2/81*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + -2/81*i*e^2*(i*e^2*m_d^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_d^2*(m_d^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  AntiPart A_\sigma_8887(X)  AntiPart A_\sigma_9210(X)  to  d_eta_10248(X)  AntiPart d_alpha_5103(X)^(*) : Vertex V_0:A(X_2), d(X_3), AntiPart  OffShell d(V_0), Vertex V_1:A(X_1), AntiPart d(X_4),  OffShell d(V_1), : -1/18*i*e^2*(p_2_%\mu_6648*gamma_{+%\mu_6648,%gam_14110,%gam_14111}*gamma_{%\rho_6848,%gam_14075,%gam_14110}*gamma_{%\sigma_9175,%gam_14111,%del_8034}*A_{k_2185,+%\sigma_9175}(p_1)*A_{l_2185,+%\rho_6848}(p_2)*d_{j_2187,%del_8034}(p_4)_v*d_{i_2187,%gam_14075}(p_3)_u^(*) + (-2)*p_3_%\rho_6848*gamma_{%\sigma_9175,%gam_14081,%del_8039}*A_{k_2185,+%\sigma_9175}(p_1)*A_{l_2185,+%\rho_6848}(p_2)*d_{j_2187,%del_8039}(p_4)_v*d_{i_2187,%gam_14081}(p_3)_u^(*))/(s_23 + -1/2*reg_prop) : 2/81*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -1/324*i*e^2*(i*e^2*m_d^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_d^2*(m_d^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  AntiPart A_\sigma_8887(X)  AntiPart A_\sigma_9210(X)  to  AntiPart d_del_8417(X)^(*)  d_eps_3666(X) : Vertex V_0:A(X_2), d(X_4), AntiPart  OffShell d(V_0), Vertex V_1:A(X_1), AntiPart d(X_3),  OffShell d(V_1), : -1/18*i*e^2*(p_2_%\sigma_9336*gamma_{%\sigma_9332,%gam_14560,%del_8324}*gamma_{%\sigma_9334,%gam_14536,%gam_14559}*gamma_{+%\sigma_9336,%gam_14559,%gam_14560}*A_{k_2215,+%\sigma_9332}(p_1)*A_{l_2215,+%\sigma_9334}(p_2)*d_{i_2217,%del_8324}(p_3)_v*d_{j_2217,%gam_14536}(p_4)_u^(*) + (-2)*p_4_%\sigma_9334*gamma_{%\sigma_9332,%gam_14542,%del_8327}*A_{k_2215,+%\sigma_9332}(p_1)*A_{l_2215,+%\sigma_9334}(p_2)*d_{i_2217,%del_8327}(p_3)_v*d_{j_2217,%gam_14542}(p_4)_u^(*))/(s_13 + -1/2*reg_prop) : 2/81*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + -2/81*i*e^2*(i*e^2*m_d^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_d^2*(m_d^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  AntiPart A_\sigma_8887(X)  AntiPart A_\sigma_9210(X)  to  AntiPart d_del_8417(X)^(*)  d_eps_3666(X) : Vertex V_1:A(X_2), AntiPart d(X_3),  OffShell d(V_1), Vertex V_0:A(X_1), d(X_4), AntiPart  OffShell d(V_0), : 1/18*i*e^2*(p_2_%\rho_7005*gamma_{+%\rho_7005,%gam_14610,%gam_14611}*gamma_{%\sigma_9394,%gam_14579,%gam_14610}*gamma_{%\sigma_9396,%gam_14611,%del_8360}*A_{k_2215,+%\sigma_9394}(p_1)*A_{l_2215,+%\sigma_9396}(p_2)*d_{i_2217,%del_8360}(p_3)_v*d_{j_2217,%gam_14579}(p_4)_u^(*) + (-2)*p_3_%\sigma_9396*gamma_{%\sigma_9394,%gam_14587,%del_8363}*A_{k_2215,+%\sigma_9394}(p_1)*A_{l_2215,+%\sigma_9396}(p_2)*d_{i_2217,%del_8363}(p_3)_v*d_{j_2217,%gam_14587}(p_4)_u^(*))/(s_23 + -1/2*reg_prop) : 2/81*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -1/324*i*e^2*(i*e^2*m_d^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_d^2*(m_d^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  A_\lambda_7650(X)  A_\tau_9273(X)  to  s_eps_3784(X)  AntiPart s_eta_10666(X)^(*) : Vertex V_0:A(X_2), s(X_3), AntiPart  OffShell s(V_0), Vertex V_1:A(X_1), AntiPart s(X_4),  OffShell s(V_1), : -1/18*i*e^2*(p_2_%\rho_7601*gamma_{%\rho_7599,%eta_10562,%eta_10516}*gamma_{+%\rho_7601,%eta_10561,%eta_10562}*gamma_{%\sigma_10174,%eta_10515,%eta_10561}*A_{l_2409,+%\sigma_10174}(p_2)*A_{k_2409,+%\rho_7599}(p_1)*s_{i_2411,%eta_10515}(p_3)_u^(*)*s_{j_2411,%eta_10516}(p_4)_v + (-2)*p_3_%\sigma_10174*gamma_{%\rho_7599,%eta_10524,%eta_10525}*A_{l_2409,+%\sigma_10174}(p_2)*A_{k_2409,+%\rho_7599}(p_1)*s_{i_2411,%eta_10524}(p_3)_u^(*)*s_{j_2411,%eta_10525}(p_4)_v)/(s_23 + -1/2*reg_prop) : 2/81*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -1/324*i*e^2*(i*e^2*m_s^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_s^2*(m_s^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  A_\lambda_7650(X)  A_\tau_9273(X)  to  s_eps_3784(X)  AntiPart s_eta_10666(X)^(*) : Vertex V_1:A(X_2), AntiPart s(X_4),  OffShell s(V_1), Vertex V_0:A(X_1), s(X_3), AntiPart  OffShell s(V_0), : 1/18*i*e^2*(p_2_%\nu_8680*gamma_{+%\nu_8680,%eta_10639,%eta_10640}*gamma_{%\rho_7642,%eta_10590,%eta_10639}*gamma_{%\sigma_10193,%eta_10640,%eta_10591}*A_{l_2409,+%\sigma_10193}(p_2)*A_{k_2409,+%\rho_7642}(p_1)*s_{i_2411,%eta_10590}(p_3)_u^(*)*s_{j_2411,%eta_10591}(p_4)_v + (-2)*p_4_%\sigma_10193*gamma_{%\rho_7642,%eta_10599,%eta_10600}*A_{l_2409,+%\sigma_10193}(p_2)*A_{k_2409,+%\rho_7642}(p_1)*s_{i_2411,%eta_10599}(p_3)_u^(*)*s_{j_2411,%eta_10600}(p_4)_v)/(s_13 + -1/2*reg_prop) : 2/81*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + -2/81*i*e^2*(i*e^2*m_s^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_s^2*(m_s^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  A_\lambda_7650(X)  A_\tau_9273(X)  to  AntiPart s_gam_15191(X)^(*)  s_del_8765(X) : Vertex V_0:A(X_2), s(X_4), AntiPart  OffShell s(V_0), Vertex V_1:A(X_1), AntiPart s(X_3),  OffShell s(V_1), : -1/18*i*e^2*(p_2_%\nu_8767*gamma_{+%\nu_8767,%eta_11210,%eta_11211}*gamma_{%\rho_7895,%eta_11211,%gam_15126}*gamma_{%\tau_9321,%eta_11185,%eta_11210}*A_{l_2439,+%\tau_9321}(p_2)*A_{k_2439,+%\rho_7895}(p_1)*s_{i_2441,%gam_15126}(p_3)_v*s_{j_2441,%eta_11185}(p_4)_u^(*) + (-2)*p_4_%\tau_9321*gamma_{%\rho_7895,%eta_11193,%gam_15129}*A_{l_2439,+%\tau_9321}(p_2)*A_{k_2439,+%\rho_7895}(p_1)*s_{i_2441,%gam_15129}(p_3)_v*s_{j_2441,%eta_11193}(p_4)_u^(*))/(s_13 + -1/2*reg_prop) : 2/81*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + -2/81*i*e^2*(i*e^2*m_s^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_s^2*(m_s^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  A_\lambda_7650(X)  A_\tau_9273(X)  to  AntiPart s_gam_15191(X)^(*)  s_del_8765(X) : Vertex V_1:A(X_2), AntiPart s(X_3),  OffShell s(V_1), Vertex V_0:A(X_1), s(X_4), AntiPart  OffShell s(V_0), : 1/18*i*e^2*(p_2_%\mu_7319*gamma_{+%\mu_7319,%eta_11259,%eta_11260}*gamma_{%\rho_7917,%eta_11230,%eta_11259}*gamma_{%\tau_9347,%eta_11260,%gam_15158}*A_{l_2439,+%\tau_9347}(p_2)*A_{k_2439,+%\rho_7917}(p_1)*s_{i_2441,%gam_15158}(p_3)_v*s_{j_2441,%eta_11230}(p_4)_u^(*) + (-2)*p_3_%\tau_9347*gamma_{%\rho_7917,%eta_11236,%gam_15161}*A_{l_2439,+%\tau_9347}(p_2)*A_{k_2439,+%\rho_7917}(p_1)*s_{i_2441,%gam_15161}(p_3)_v*s_{j_2441,%eta_11236}(p_4)_u^(*))/(s_23 + -1/2*reg_prop) : 2/81*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -1/324*i*e^2*(i*e^2*m_s^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_s^2*(m_s^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  A_\lambda_7650(X)  AntiPart A_\lambda_7800(X)  to  s_eta_11760(X)  AntiPart s_alpha_5685(X)^(*) : Vertex V_1:A(X_2), s(X_3), AntiPart  OffShell s(V_1), Vertex V_0:A(X_1), AntiPart s(X_4),  OffShell s(V_0), : -1/18*i*e^2*(p_2_%\rho_8117*gamma_{%\rho_8115,%eta_11680,%alpha_5604}*gamma_{+%\rho_8117,%eta_11679,%eta_11680}*gamma_{%\sigma_10418,%eta_11652,%eta_11679}*A_{k_2473,+%\rho_8115}(p_1)*A_{l_2473,+%\sigma_10418}(p_2)*s_{j_2475,%alpha_5604}(p_4)_v*s_{i_2475,%eta_11652}(p_3)_u^(*) + (-2)*p_3_%\sigma_10418*gamma_{%\rho_8115,%eta_11658,%alpha_5607}*A_{k_2473,+%\rho_8115}(p_1)*A_{l_2473,+%\sigma_10418}(p_2)*s_{j_2475,%alpha_5607}(p_4)_v*s_{i_2475,%eta_11658}(p_3)_u^(*))/(s_23 + -1/2*reg_prop) : 2/81*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -1/324*i*e^2*(i*e^2*m_s^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_s^2*(m_s^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  A_\lambda_7650(X)  AntiPart A_\lambda_7800(X)  to  s_eta_11760(X)  AntiPart s_alpha_5685(X)^(*) : Vertex V_0:A(X_2), AntiPart s(X_4),  OffShell s(V_0), Vertex V_1:A(X_1), s(X_3), AntiPart  OffShell s(V_1), : 1/18*i*e^2*(p_2_%\nu_8887*gamma_{+%\nu_8887,%eta_11733,%eta_11734}*gamma_{%\rho_8153,%eta_11700,%eta_11733}*gamma_{%\sigma_10437,%eta_11734,%alpha_5640}*A_{k_2473,+%\rho_8153}(p_1)*A_{l_2473,+%\sigma_10437}(p_2)*s_{j_2475,%alpha_5640}(p_4)_v*s_{i_2475,%eta_11700}(p_3)_u^(*) + (-2)*p_4_%\sigma_10437*gamma_{%\rho_8153,%eta_11706,%alpha_5643}*A_{k_2473,+%\rho_8153}(p_1)*A_{l_2473,+%\sigma_10437}(p_2)*s_{j_2475,%alpha_5643}(p_4)_v*s_{i_2475,%eta_11706}(p_3)_u^(*))/(s_13 + -1/2*reg_prop) : 2/81*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + -2/81*i*e^2*(i*e^2*m_s^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_s^2*(m_s^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  A_\lambda_7650(X)  AntiPart A_\lambda_7800(X)  to  AntiPart s_del_8973(X)^(*)  s_eps_3930(X) : Vertex V_1:A(X_2), AntiPart s(X_3),  OffShell s(V_1), Vertex V_0:A(X_1), s(X_4), AntiPart  OffShell s(V_0), : 1/18*i*e^2*(p_2_%\lambda_7846*gamma_{+%\lambda_7846,%eta_12186,%eta_12187}*gamma_{%\rho_8392,%eta_12155,%eta_12186}*gamma_{%\rho_8394,%eta_12187,%del_8905}*A_{l_2503,+%\rho_8394}(p_2)*A_{k_2503,+%\rho_8392}(p_1)*s_{i_2505,%del_8905}(p_3)_v*s_{j_2505,%eta_12155}(p_4)_u^(*) + (-2)*p_3_%\rho_8394*gamma_{%\rho_8392,%eta_12163,%del_8908}*A_{l_2503,+%\rho_8394}(p_2)*A_{k_2503,+%\rho_8392}(p_1)*s_{i_2505,%del_8908}(p_3)_v*s_{j_2505,%eta_12163}(p_4)_u^(*))/(s_23 + -1/2*reg_prop) : 2/81*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -1/324*i*e^2*(i*e^2*m_s^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_s^2*(m_s^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
